"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R4";"R_0402_1005Metric";1;"100R";;;
2;"J2,J8,J3,J4,J5,J7,J6,J1";"PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left";8;"Conn_01x03";;;
3;"C29";"C_0402_1005Metric";1;"47n";;;
4;"J9,J10";"PinHeader_2x03_P2.54mm_Vertical_SMD";2;"Conn_02x03_Odd_Even";;;
5;"R19,R18,R17,R15,R16,R20";"R_0402_1005Metric";6;"3R";;;
6;"C23,C18";"C_0603_1608Metric";2;"680p";;;
7;"C20,C19";"C_0603_1608Metric";2;"22u";;;
8;"C13,C21,C11,C12";"R_0603_1608Metric";4;"100n 100V";;;
9;"Q1,Q4,Q5,Q3,Q2";"TDSON-8-1";5;"BSC0702LS";;;
10;"C5,C2,C7,C8,C4,C1,C3";"C_1210_3225Metric";7;"10u 100V";;;
11;"C27";"C_0402_1005Metric";1;"68n";;;
12;"R6,R9,R13,R27,R7";"R_0402_1005Metric";5;"0R";;;
13;"C16,C17,C22,C15,C14";"C_0603_1608Metric";5;"100n";;;
14;"R5,R28";"R_0402_1005Metric";2;"30.9k";;;
15;"C28";"C_0402_1005Metric";1;"47p";;;
16;"L1";"L_Changjiang_FXL1050";1;"2.2u";;;
17;"R1";"R_2512_6332Metric";1;"0.010R";;;
18;"R11,R22,R8,R12,R24";"R_0402_1005Metric";5;"6.98k";;;
19;"U1";"VSSOP-10_3x3mm_P0.5mm";1;"INA226";;;
20;"R26";"R_0402_1005Metric";1;"2.7k";;;
21;"U2";"QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm_ThermalVias";1;"LM51772RHAR";;;
22;"R25";"R_0402_1005Metric";1;"40.2k";;;
23;"R21,R10,R14,R23";"R_0402_1005Metric";4;"10R";;;
24;"R2";"R_0402_1005Metric";1;"75k";;;
25;"R3";"R_1206_3216Metric";1;"0.003R";;;
26;"C24";"C_0402_1005Metric";1;"120p";;;
27;"D1";"D_SOD-123";1;"15V";;;
28;"C10,C9,C6";"CP_Elec_8x11.9";3;"39u 50V";;;
29;"C25";"C_0402_1005Metric";1;"100p";;;
30;"C26";"C_0402_1005Metric";1;"56p";;;
