Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u 50V,C_0805_2012Metric,156,-120,180,top
C2,10u 100V,C_1210_3225Metric,183.8,-118.3,0,top
C3,10u 100V,C_1210_3225Metric,183.8,-115.1,0,top
C5,10u 100V,C_1210_3225Metric,202.7,-122.5,-90,top
C6,47u 63V,CP_Elec_8x10.5,149.8,-120,-90,top
C7,10u 100V,C_1210_3225Metric,185.225,-121.5,180,top
C8,10u 100V,C_1210_3225Metric,185.225,-124.7,180,top
C9,47u 63V,CP_Elec_8x10.5,192.05,-119.95,-90,top
C11,100n 100V,C_0402_1005Metric,174.8,-112.98,90,top
C12,100n 100V,C_0402_1005Metric,175.82,-108.6,180,top
C13,100n 100V,C_0402_1005Metric,163.5375,-112.275,180,top
C14,100n,C_0402_1005Metric,200.35,-107,-90,top
C15,100n,C_0402_1005Metric,165.7375,-112.275,0,top
C16,100n,C_0402_1005Metric,198.85,-106.55,0,top
C17,100n,C_0402_1005Metric,169.5375,-113.225,180,top
C18,680p,C_0402_1005Metric,161.5,-116.2,90,top
C19,22u,C_0402_1005Metric,176.7125,-104.3,0,top
C20,22u,C_0402_1005Metric,172.8,-113,-90,top
C21,100n 100V,C_0402_1005Metric,176.7125,-105.3,180,top
C22,100n,C_0402_1005Metric,176.7,-109.6,180,top
C23,680p,C_0402_1005Metric,179.92,-125.6,0,top
C24,120p,C_0402_1005Metric,167.6625,-112.2725,180,top
C25,100p,C_0402_1005Metric,163.5425,-111.3,180,top
C26,56p,C_0402_1005Metric,163.5475,-104.3,180,top
C27,68n,C_0402_1005Metric,161.6875,-108.3,180,top
C28,47p,C_0402_1005Metric,163.5375,-107.3,180,top
C29,47n,C_0402_1005Metric,176.6875,-103.3,0,top
D1,15V,D_SOD-523,203.4,-118.7,180,top
J1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,214.445,-104.05,0,top
J2,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,184,-104,0,top
J3,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,151,-104,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,207.5,-104.05,0,top
J5,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,130.3,-104,0,top
J6,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,144.1,-104,0,top
J7,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,137.2,-104,0,top
J8,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,191,-104,0,top
J9,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical_SMD,213.5,-120,-90,top
J10,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical_SMD,130.46,-120,90,top
L1,2.2u,L_Changjiang_FXL1050,170,-120,0,top
Q1,HSBB6054,Diodes_PowerDI3333-8,202.765,-115.82,90,top
Q2,HSBB6054,Diodes_PowerDI3333-8,156.5,-116.975,180,top
Q3,HSBB6054,Diodes_PowerDI3333-8,179.31,-117.025,0,top
Q4,HSBB6054,Diodes_PowerDI3333-8,156.5,-122.975,0,top
Q5,HSBB6054,Diodes_PowerDI3333-8,179.33,-123.025,180,top
R1,0.010R,R_2512_6332Metric_SHUNT,198.8,-117.4,90,top
R2,75k,R_0402_1005Metric,176.7,-107.6,0,top
R3,0.003R,R_2512_6332Metric_SHUNT,160.8,-121.6,-90,top
R4,100R,R_0402_1005Metric,203.7,-113.2,180,top
R5,30.9k,R_0402_1005Metric,173.8,-112.99,-90,top
R6,0R,R_0402_1005Metric,163.5375,-109.3,0,top
R7,0R,R_0402_1005Metric,163.5475,-110.3,0,top
R8,6.98k,R_0402_1005Metric,197.35,-107,90,top
R9,0R,R_0402_1005Metric,166.2375,-113.725,-90,top
R10,10R,R_0402_1005Metric,198.35,-108,-90,top
R11,6.98k,R_0402_1005Metric,196.4,-107,90,top
R12,6.98k,R_0402_1005Metric,195.45,-107,90,top
R13,0R,R_0402_1005Metric,165.2375,-113.725,-90,top
R14,10R,R_0402_1005Metric,199.35,-108,-90,top
R15,3R,R_0402_1005Metric,159.6,-114.8,180,top
R16,3R,R_0402_1005Metric,162,-114.8,0,top
R17,3R,R_0402_1005Metric,155.49,-125.4,180,top
R18,3R,R_0402_1005Metric,180.4,-119.4,180,top
R19,3R,R_0402_1005Metric,181.82,-125.6,0,top
R20,3R,R_0402_1005Metric,180.4,-120.6,180,top
R21,10R,R_0402_1005Metric,168.1375,-113.725,-90,top
R22,6.98k,R_0402_1005Metric,163.5475,-105.3,0,top
R23,10R,R_0402_1005Metric,167.1825,-113.725,-90,top
R24,6.98k,R_0402_1005Metric,163.5375,-108.3,180,top
R25,40.2k,R_0402_1005Metric,163.5375,-103.3,180,top
R26,2.7k,R_0402_1005Metric,168.4,-103.3,180,top
R27,0R,R_0402_1005Metric,166.49,-103.3,180,top
R28,30.9k,R_0402_1005Metric,163.5475,-106.3,180,top
U1,INA226,VSSOP-10_3x3mm_P0.5mm,198.15,-104.3,0,top
U2,LM51772RHAR,QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm_ThermalVias,170.1,-108.2,-90,top
